name	Shapiro.Wilks	DateVLat	YearVSS	LatVDOY	DatePLatVDOY_Lat	LatVDOYMLat	DateVDOY	DateVDOYMLat	DatePLatVDOY_Date	YearVMinDOY	YearVMinDOYMLat	YearVMinDOYMSS	YearVMinDOYMLatMSS
Anemone quinquefolia	0.14	0.29	0.0002	0.00011	0.00011	1	0.7	0.83	0.83	0.11	0.17	0.29	0.23
Camassia scilloides	0.021	0.00053	0.00049	3.60E-31	1.90E-28	1	8.50E-09	6.90E-06	4.40E-06	1.30E-07	0.0001	0.00012	0.051
Cardamine concatenata	0.017	0.00042	7.00E-07	9.10E-55	2.90E-52	1	1.30E-07	5.10E-05	4.60E-05	2.90E-13	2.50E-08	0.0003	0.085
Claytonia virginica	0.075	5.40E-06	1.80E-08	5.20E-60	1.50E-55	1	5.80E-20	2.90E-15	1.70E-15	1.20E-12	1.70E-08	0.0001	0.04
Collinsia verna	0.66	4.10E-07	0.00022	0.00027	0.00058	1	0.24	0.82	0.8	0.027	0.31	0.47	0.58
Dicentra cucullaria	0.074	1.60E-08	8.70E-06	2.60E-131	5.70E-125	1	1.00E-11	3.40E-05	2.70E-05	2.00E-11	0.00011	2.00E-05	0.26
Enemion biternatum	0.1	0.5	0.0001	1.30E-43	1.80E-43	1	0.077	0.086	0.086	5.70E-06	0.0038	0.031	0.56
Erythronium americanum	0.072	2.20E-06	3.30E-09	2.50E-65	3.00E-62	1	5.30E-05	0.11	0.11	1.80E-10	1.40E-05	0.018	0.89
Mertensia virginica	0.086	8.10E-07	0.0036	3.30E-31	7.50E-27	1	8.30E-11	3.60E-06	2.10E-06	5.10E-07	0.0001	3.00E-05	0.002
Podophyllum peltatum	0.006	1.10E-13	1.50E-11	4.50E-59	2.90E-54	1	4.60E-07	0.063	0.057	1.90E-17	1.50E-12	6.40E-06	0.0034
Primula meadia	0.13	5.00E-10	0.006	8.40E-26	1.40E-22	1	8.40E-05	0.35	0.32	0.0013	0.069	0.068	0.76
Sanguinaria canadensis	0.014	0.018	0.08	2.00E-31	1.10E-30	1	0.01	0.065	0.065	0.0043	0.071	0.11	0.71
Thalictrum thalictroides	0.11	1.30E-06	0.009	2.00E-68	1.70E-64	1	7.10E-09	9.00E-05	7.70E-05	2.10E-08	3.70E-05	0.00085	0.096
