name	Shapiro.Wilks	DateVLat	YearVSS	LatVDOY	DatePLatVDOY_Lat	LatVDOYMLat	DateVDOY	DateVDOYMLat	DatePLatVDOY_Date	YearVMinDOY	YearVMinDOYMLat	YearVMinDOYMSS	YearVMinDOYMLatMSS
Anemone quinquefolia	0.043	0	1	0.918	0.929	0	0.99	0.992	0.992	1	1	0.906	0.895
Camassia scilloides	0.012	0.074	1	1	1	0	0.874	0.658	0.661	0.999	0.952	0.908	0.531
Cardamine concatenata	0.101	1	1	1	1	0	1	1	1	1	1	1	0.93
Claytonia virginica	0.18	1	1	1	1	0	1	1	1	1	1	0.999	0.94
Collinsia verna	0.012	1	1	0.945	0.767	0	0.891	0.529	0.571	0.977	0.885	0.711	0.431
Dicentra cucullaria	0.464	1	1	1	1	0	1	1	1	1	1	1	0.956
Enemion biternatum	0.041	0	1	1	1	0	0.851	0.912	0.91	1	0.998	0.951	0.716
Erythronium americanum	0.085	1	1	1	1	0	1	0.986	0.986	1	1	1	0.853
Mertensia virginica	0.034	1	1	1	1	0	1	0.985	0.987	0.999	0.98	0.992	0.855
Podophyllum peltatum	0.092	1	1	1	1	0	1	1	1	1	1	0.995	0.911
Primula meadia	0.028	1	1	1	1	0	1	0.789	0.811	1	0.948	0.97	0.58
Sanguinaria canadensis	0.097	1	0	1	1	0	1	1	1	1	0.988	0.997	0.928
Thalictrum thalictroides	0.238	1	1	1	1	0	1	1	1	1	1	1	0.956
