name	Shapiro.Wilks	DateVLat	YearVSS	LatVDOY	DatePLatVDOY_Lat	LatVDOYMLat	DateVDOY	DateVDOYMLat	DatePLatVDOY_Date	DateVMinDOY	DateVMinDOYMLat	DateVMinDOYMSS	DateVMinDOYMLatMSS
Anemone quinquefolia	1	0	1	0	0.812	0	1	1	1	1	1	1	1
Camassia scilloides	0.385	0.002	0.997	1	1	0	1	1	1	1	1	1	1
Cardamine concatenata	1	1	1	1	1	0	1	1	1	1	1	1	1
Claytonia virginica	1	1	1	1	1	0	1	1	1	1	1	1	1
Dicentra cucullaria	1	1	1	1	1	0	1	1	1	1	1	1	1
Primula meadia	0.797	1	1	1	1	0	1	1	1	1	1	1	1
Enemion biternatum	0.633	0	1	1	1	0	1	1	1	1	1	1	1
Erythronium americanum	1	1	1	1	1	0	1	1	1	1	1	1	1
Mertensia virginica	1	1	1	1	1	0	1	1	1	1	1	1	1
Podophyllum peltatum	1	1	1	1	1	0	1	1	1	1	1	1	1
Sanguinaria canadensis	1	1	0	1	1	0	1	1	1	1	1	1	1
Thalictrum thalictroides	1	1	1	1	1	0	1	1	1	1	1	1	1
Collinsia verna	0.911	1	1	1	0.7	0	1	1	1	1	1	1	1
