name	Shapiro.Wilks	DateVLat	YearVSS	LatVDOY	DatePLatVDOY_Lat	LatVDOYMLat	DateVDOY	DateVDOYMLat	DatePLatVDOY_Date	YearVMinDOY	YearVMinDOYMLat	YearVMinDOYMSS	YearVMinDOYMLatMSS
Anemone quinquefolia	0.041	0	1	0.924	0.935	0	0.996	0.996	0.996	1	1	0.925	0.915
Camassia scilloides	0.013	0.055	1	1	1	0	0.887	0.669	0.671	1	0.939	0.891	0.522
Cardamine concatenata	0.114	1	1	1	1	0	1	1	1	1	1	1	0.932
Claytonia virginica	0.209	1	1	1	1	0	1	1	1	1	1	1	0.942
Collinsia verna	0.017	1	1	0.941	0.779	0	0.898	0.598	0.642	0.974	0.894	0.739	0.481
Dicentra cucullaria	0.425	1	1	1	1	0	1	1	1	1	1	1	0.95
Enemion biternatum	0.033	0	1	1	1	0	0.865	0.918	0.918	1	0.998	0.948	0.747
Erythronium americanum	0.074	1	1	1	1	0	1	0.987	0.988	1	1	0.999	0.854
Mertensia virginica	0.018	1	1	1	1	0	1	0.994	0.995	1	0.974	0.987	0.838
Podophyllum peltatum	0.099	1	1	1	1	0	1	1	1	1	1	0.996	0.926
Primula meadia	0.023	1	1	1	1	0	1	0.761	0.793	1	0.932	0.966	0.574
Sanguinaria canadensis	0.108	1	0	1	1	0	1	1	1	0.999	0.981	0.991	0.914
Thalictrum thalictroides	0.265	1	1	1	1	0	1	1	1	1	1	1	0.951
