name	Shapiro.Wilks	DateVLat	YearVSS	LatVDOY	DatePLatVDOY_Lat	LatVDOYMLat	DateVDOY	DateVDOYMLat	DatePLatVDOY_Date	YearVMinDOY	YearVMinDOYMLat	YearVMinDOYMSS	YearVMinDOYMLatMSS
Anemone quinquefolia	0.037	0	1	0.93	0.93	0	0.05	0.053	0.053	0.75	0.71	0.066	0.06
Camassia scilloides	0.008	0.085	1	1	1	0	0.112	0.05	0.051	0.886	0.374	0.262	0.054
Cardamine concatenata	0.111	1	1	1	1	0	0.36	0.042	0.042	1	0.985	0.43	0.061
Claytonia virginica	0.203	1	1	1	1	0	0.608	0.036	0.04	1	0.995	0.479	0.07
Collinsia verna	0.007	1	1	0.791	0.755	0	0.133	0.031	0.043	0.53	0.282	0.095	0.048
Dicentra cucullaria	0.412	1	1	1	1	0	0.994	0.047	0.05	1	0.913	0.977	0.074
Enemion biternatum	0.03	0	1	1	1	0	0.012	0.042	0.042	0.979	0.616	0.276	0.063
Erythronium americanum	0.084	1	1	1	1	0	0.677	0.055	0.056	1	0.984	0.715	0.077
Mertensia virginica	0.016	1	1	1	1	0	0.693	0.044	0.051	0.66	0.18	0.284	0.072
Podophyllum peltatum	0.113	1	1	1	1	0	0.579	0.053	0.056	1	0.975	0.423	0.077
Primula meadia	0.016	1	1	1	1	0	0.89	0.034	0.044	0.863	0.294	0.378	0.071
Sanguinaria canadensis	0.08	1	0	1	1	0	0.323	0.049	0.053	0.48	0.151	0.242	0.087
Thalictrum thalictroides	0.208	1	1	1	1	0	0.616	0.041	0.044	0.994	0.669	0.565	0.079
