name	Shapiro.Wilks	DateVLat	YearVSS	LatVDOY	DatePLatVDOY_Lat	LatVDOYMLat	DateVDOY	DateVDOYMLat	DatePLatVDOY_Date	YearVMinDOY	YearVMinDOYMLat	YearVMinDOYMSS	YearVMinDOYMLatMSS
Anemone quinquefolia	0.03	0	1	0.922	0.923	0	0.05	0.052	0.052	0.77	0.739	0.018	0.015
Camassia scilloides	0.008	0.108	1	1	1	0	0.13	0.035	0.035	0.9	0.396	0.142	0.135
Cardamine concatenata	0.105	1	1	1	1	0	0.365	0.044	0.045	1	0.98	0.156	0.168
Claytonia virginica	0.214	1	1	1	1	0	0.573	0.046	0.047	1	0.989	0.212	0.233
Collinsia verna	0.01	1	1	0.814	0.756	0	0.131	0.032	0.05	0.519	0.289	0.076	0.083
Dicentra cucullaria	0.388	1	1	1	1	0	0.986	0.042	0.047	1	0.906	0.151	0.236
Enemion biternatum	0.034	0	1	1	1	0	0.01	0.055	0.055	0.976	0.628	0.079	0.159
Erythronium americanum	0.051	1	1	1	1	0	0.708	0.042	0.046	1	0.989	0.129	0.14
Mertensia virginica	0.026	1	1	1	1	0	0.668	0.036	0.044	0.67	0.185	0.099	0.123
Podophyllum peltatum	0.087	1	1	1	1	0	0.612	0.04	0.042	0.999	0.967	0.394	0.421
Primula meadia	0.024	1	1	1	1	0	0.908	0.026	0.037	0.883	0.325	0.159	0.149
Sanguinaria canadensis	0.091	1	0	1	1	0	0.326	0.035	0.037	0.527	0.137	0.085	0.064
Thalictrum thalictroides	0.197	1	1	1	1	0	0.612	0.039	0.041	0.997	0.672	0.131	0.089
