ID	species	date	latitude	longitude	dayOfYear
576568b7-312a-4703-83da-e3570afee9c7	ERYTHRONIUM AMERICANUM	2004.28142076503	41.6034	-86.8727	103
fc05a8db-f558-417b-b4d9-eee4a810d38a	ERYTHRONIUM AMERICANUM	1890.31780821918	42.47361	-72.48746	116
c1f08d07-ff6c-4e30-b931-ff5d9dcd7725	ERYTHRONIUM AMERICANUM	1972.34699453552	44.14625	-72.68505	127
87c5b946-c227-48e3-9847-6963575ab50e	ERYTHRONIUM AMERICANUM	1910.29863013699	42.36447	-72.50686	109
c1372cdc-1874-40f5-a89f-811b82d2b612	ERYTHRONIUM AMERICANUM	2015.34246575342	44.8061	-89.8031	125
7f0ebf75-d24f-4d5d-8a0c-2d006516cce7	ERYTHRONIUM AMERICANUM	1967.36438356164	42.449941	-73.942955	133
006a8397-6287-4d1f-a099-a84e6b380ac4	ERYTHRONIUM AMERICANUM	1945.32328767123	43.8334	-72.63399	118
7ff3c16e-5fd3-4c68-9839-9ad47643e39d	ERYTHRONIUM AMERICANUM	2006.35890410959	41.675002	-80.423956	131
b6719a70-98a1-4f32-82e4-6d6ceef932b3	ERYTHRONIUM AMERICANUM	2003.30136986301	35.015627	-86.858567	110
2893e497-0669-4a88-853f-b42b8689906f	ERYTHRONIUM AMERICANUM	1964.33879781421	36.544228	-82.569715	124
08248f0d-5eed-4674-b9d6-a9e9ecd29faf	ERYTHRONIUM AMERICANUM	1932.23224043716	35.187909	-85.275795	85
2f517431-6549-46f0-a9c4-ea0301f44698	ERYTHRONIUM AMERICANUM	1892.34699453552	41.570922	-90.620209	127
15b3f509-a0e6-43b3-b2df-465730dc6e76	ERYTHRONIUM AMERICANUM	1946.30684931507	39.832072	-79.327812	112
7bfbb544-2fb8-4489-8c46-36bb7335e24c	ERYTHRONIUM AMERICANUM	1957.31506849315	40.670378	-80.493416	115
d040f2e5-4a8f-44d0-8d29-2296b9eeb7b7	ERYTHRONIUM AMERICANUM	1996.37704918033	41.499718	-79.097006	138
594479d8-cac1-4b06-b7f3-74c6e5629a7c	ERYTHRONIUM AMERICANUM	2006.31232876712	40.045	-80.08666666666001	114
5fcb638d-9032-4747-a31d-5046a6bbad60	ERYTHRONIUM AMERICANUM	2018.32054794521	41.6177	-80.1184	117
5805aaa2-540e-43d7-a973-a63382f904fa	ERYTHRONIUM AMERICANUM	2020.25683060109	39.89118611	-80.43943889	94
e2f05328-cb5f-4c99-9505-e4e012f39e2a	ERYTHRONIUM AMERICANUM	1972.36338797814	43.29075	-72.48097	133
d1060f53-1241-4e50-9855-bed51cff6bc0	ERYTHRONIUM AMERICANUM	2013.33424657534	42.67067	-72.64115	122
1abaa2c6-b328-4547-8fe2-9ecd000dcd09	ERYTHRONIUM AMERICANUM	2001.00273972603	42.68224	-70.83224	1
