ID	species	date	latitude	longitude	dayOfYear
df18a343-a192-4ec4-af33-29da494eaae0	SANGUINARIA CANADENSIS	1961.59178082192	36.1184858278	-84.198663	216
b73bd14c-6c55-4bfd-9928-51673f7cda73	SANGUINARIA CANADENSIS	1873.32328767123	41.407	-72.9316	118
01aad41c-bf8c-4453-882f-67ae78b1633f	SANGUINARIA CANADENSIS	1960.3306010929	39.848913	-78.049684	121
7e71926a-9678-43f5-b1c7-5888280bc9fe	SANGUINARIA CANADENSIS	1918.32054794521	40.212276	-79.96320200000001	117
3776d8c3-1586-441f-94f4-b862021401fa	SANGUINARIA CANADENSIS	1985.25205479452	37.579993	-88.857418	92
e70b6800-6463-47b0-b92c-35df58cd13be	SANGUINARIA CANADENSIS	1986.25479452055	40.289085	-79.763838	93
7471d567-fac1-4aa3-b47c-886d393ea5e3	SANGUINARIA CANADENSIS	1992.27595628415	40.17222	-79.76944	101
09408f7e-3235-4fff-bf7f-151dcad3017f	SANGUINARIA CANADENSIS	1950.46301369863	42.022241	-84.962346	169
b0972199-2b41-42f6-a98a-08cad39d2026	SANGUINARIA CANADENSIS	1954.29863013699	40.69952	-78.53442	109
9ef70cf4-11f9-409b-bff7-1d4fcab67a6b	SANGUINARIA CANADENSIS	2003.29863013699	39.86305555555	-79.93777777777	109
bf41525d-f856-4551-bec1-8cc65883f8c0	SANGUINARIA CANADENSIS	1931.29315068493	35.924249	-83.96324	107
7787fc20-afb2-46fc-a665-8952cbaef135	SANGUINARIA CANADENSIS	1888.31147540984	41.52914	-90.57678	114
c0bbcae1-c71e-4c19-ba10-7667a7ef4f89	SANGUINARIA CANADENSIS	1958.33424657534	40.18337	-76.49445	122
87d9a55e-c98e-4712-b3fc-71adafb98941	SANGUINARIA CANADENSIS	1959.46301369863	40.19995200000001	-76.108182	169
55ef7e2d-f44f-484b-92d5-a8d06ab171cf	SANGUINARIA CANADENSIS	1907.28219178082	40.575462	-75.486284	103
7f2412cd-69cc-4b4b-8a92-573625484ce9	SANGUINARIA CANADENSIS	1968.51366120219	43.116253	-83.233907	188
65e6e5af-0e7d-4c22-bd19-e2511b9840a1	SANGUINARIA CANADENSIS	2010.33150684932	45.41779518	-89.18036722	121
fae229f2-e215-4204-a511-a6d7c0afc1f3	SANGUINARIA CANADENSIS	2010.43561643836	45.92156153	-88.51326256	159
feac3cbc-d3d8-4262-af43-76a16e8c5296	SANGUINARIA CANADENSIS	1934.34794520548	38.744717	-85.322485	127
2508d0e5-86b2-4df4-829b-dd38ab6314b6	SANGUINARIA CANADENSIS	1941.32876712329	39.231951	-76.71344	120
64aa07bd-3190-413e-8c7b-c82329741cb3	SANGUINARIA CANADENSIS	1974.32602739726	39.483666	-76.638333	119
f1c3b050-0b8b-4343-abae-128b3a551687	SANGUINARIA CANADENSIS	1989.24931506849	38.9775	-77.1947	91
660d42d8-e962-4254-a86a-90f862ac21f7	SANGUINARIA CANADENSIS	1918.24657534247	38.6861	-76.535	90
ef941a6c-8cba-499a-a93e-a2669f5adda5	SANGUINARIA CANADENSIS	1928.36612021858	38.9103	-76.9664	134
a446b7d3-cc23-491c-817c-1f8ea30bd78b	SANGUINARIA CANADENSIS	1899.34794520548	41.6049	-72.88	127
915e2977-277d-4005-83d7-751a32a3c213	SANGUINARIA CANADENSIS	1873.31780821918	41.407	-72.9316	116
6f502841-767b-4945-86bf-00a296981a2b	SANGUINARIA CANADENSIS	2010.34246575342	45.31654884	-89.25663599	125
