coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
7195c5d4-8b88-4a3d-bce7-316add86617a,,,preservedspecimen,,podophyllum peltatum,cbs.014368,magnoliopsida,cbs,http://grbio.org/cool/x0m9-a3bs,,richard william woodward,,,north america,10100.0,united states,usa,litchfield county,1900-07-22T00:00:00+00:00,2016-03-21T21:43:25.444854+00:00,0.2463768115942029,,,,,,2c112e64a30d9511b530479386ea9d5096f8c547,1900-07-22,berberidaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_country_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_parentnameusageid_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_class_replaced"", ""dwc_continent_added""]",,podophyllum,,"{""lat"": 41.8475, ""lon"": -73.3298}",,true,true,,,,,yale peabody museum of natural history,,,plantae,,,,,,,,,,,"[""67752dd2-03dd-4afd-be94-0a9016193b58""]",,,,cornwall,urn:uuid:0f2007c2-40c3-4358-892e-4ecb7c202bb5,ranunculales,tracheophyta,"[""urn:uuid:abceb9c5-75a5-4933-a11a-88afdb3c4651"", ""09edf7d2-e68e-4a42-93da-762f86bb814f\\102770"", ""09edf7d2-e68e-4a42-93da-762f86bb814f\\urn:uuid:0f2007c2-40c3-4358-892e-4ecb7c202bb5""]",,09edf7d2-e68e-4a42-93da-762f86bb814f,podophyllum peltatum,peltatum,203,connecticut,3033839,accepted,species,,7195c5d4-8b88-4a3d-bce7-316add86617a,,,,
c8eeb394-968b-4009-b5f0-a4c9a9e49db4,,,preservedspecimen,,podophyllum peltatum,80642,magnoliopsida,kanu,,,l.k. magrath & r.r. weedon,,,north america,231.0,united states,usa,cherokee,1969-04-12T00:00:00+00:00,2020-07-24T20:35:10.931400+00:00,0.2898550724637681,,,,,,d641bb67d319e3a35b9d4a0e31a837ce69969b35,1969-04-12,berberidaceae,3691,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_taxon_corrected""]",,podophyllum,,"{""lat"": 37.043365, ""lon"": -94.640272}",,false,false,,,,,ku,http://grbio.org/cool/iakn-125z,,plantae,,,,,,,schermerhorn park s of galena,,,,,,,,,099bcf9a-ba8b-11e3-8cfe-90b11c41863e,ranunculales,tracheophyta,"[""d7b285d4-2643-45ee-9302-b0c3d51dda5c\\099bcf9a-ba8b-11e3-8cfe-90b11c41863e""]",,d7b285d4-2643-45ee-9302-b0c3d51dda5c,podophyllum peltatum,peltatum,102,kansas,3033839,accepted,species,,c8eeb394-968b-4009-b5f0-a4c9a9e49db4,,,,
d6534eaf-d8c1-40c2-93d9-69149113800b,,,preservedspecimen,,podophyllum peltatum,80674,magnoliopsida,kanu,,,r.l. mcgregor,,,north america,5514.0,united states,usa,cherokee,1960-04-15T00:00:00+00:00,2020-07-24T20:35:10.931400+00:00,0.2898550724637681,,,,,,cf1b4bc90fe4fbb2abd562bca52ddbda5cb234ac,1960-04-15,berberidaceae,15274,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_taxon_corrected""]",,podophyllum,,"{""lat"": 37.06139, ""lon"": -94.63967}",,false,false,,,,,ku,http://grbio.org/cool/iakn-125z,,plantae,,,,,,,"galena, 1 mi s",,,,,,,,,099c49a1-ba8b-11e3-8cfe-90b11c41863e,ranunculales,tracheophyta,"[""d7b285d4-2643-45ee-9302-b0c3d51dda5c\\099c49a1-ba8b-11e3-8cfe-90b11c41863e""]",,d7b285d4-2643-45ee-9302-b0c3d51dda5c,podophyllum peltatum,peltatum,106,kansas,3033839,accepted,species,,d6534eaf-d8c1-40c2-93d9-69149113800b,,,,
2a286cb1-0bb7-49f3-a60a-fbc50a83343a,,,preservedspecimen,,podophyllum peltatum,ttrs_000004785,magnoliopsida,ttrs,,,robert k. godfrey,,,north america,,united states,usa,jackson,,2014-11-17T20:25:21.886000+00:00,0.18840579710144928,,,,,,88d513cc8cf6178a9851a110bcd43f1cfa5c2628,,berberidaceae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added""]",,podophyllum,,"{""lat"": 30.795806370500003, ""lon"": -85.2158868227}",,true,true,,,,,ttrs,http://biocol.org/urn:lsid:biocol.org:col:15829,,plantae,,,,,,,"calareous, upland woodland, florida caverns state park, marianna.",,,,"[""6fcef48f-3358-4392-910c-0bd679d97daf""]",,,,,urn:uuid:f5f8f2cc-5887-41b9-b006-27e4da1945d4,ranunculales,tracheophyta,"[""06c35934-1b75-4196-838d-29d509951bf9\\urn:uuid:f5f8f2cc-5887-41b9-b006-27e4da1945d4""]",81757,06c35934-1b75-4196-838d-29d509951bf9,podophyllum peltatum,peltatum,,florida,3033839,accepted,species,,2a286cb1-0bb7-49f3-a60a-fbc50a83343a,,,,
43b116b4-038a-4322-a208-e91df8491374,,,preservedspecimen,,podophyllum peltatum,80669,magnoliopsida,kanu,,,l.k. magrath,,,north america,4.191,united states,usa,miami,1970-05-05T00:00:00+00:00,2020-07-24T20:35:10.931400+00:00,0.2753623188405797,,,,,,45c41393ed86996d78ad6d19d471e4ec4091d2e7,1970-05-05,berberidaceae,5187,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_taxon_corrected""]",,podophyllum,,"{""lat"": 38.62019, ""lon"": -94.79095}",,false,false,,,,,ku,http://grbio.org/cool/iakn-125z,,plantae,,,,,,,somerset 1.0mi n 0.9mi w,,,,,,,,,099c2c76-ba8b-11e3-8cfe-90b11c41863e,ranunculales,tracheophyta,"[""d7b285d4-2643-45ee-9302-b0c3d51dda5c\\099c2c76-ba8b-11e3-8cfe-90b11c41863e""]",,d7b285d4-2643-45ee-9302-b0c3d51dda5c,podophyllum peltatum,peltatum,125,kansas,3033839,accepted,species,,43b116b4-038a-4322-a208-e91df8491374,,,,
7fa27220-2342-499b-b878-5aba1268655e,,,preservedspecimen,,podophyllum peltatum,365681,magnoliopsida,mass,8dbeecc9-adb7-4a6b-bf70-0907b584ec7a,,d. e. boufford,,,north america,8643.0,united states,usa,cheshire,1980-06-19T00:00:00+00:00,2018-04-12T15:32:28.766359+00:00,0.2608695652173913,,,,,,0346e8e2efb219da10f2768677685b57808844bc,1980-06-19,berberidaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_country_replaced"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_class_replaced"", ""dwc_continent_added"", ""dwc_taxonomicstatus_added""]",,podophyllum,,"{""lat"": 42.96896, ""lon"": -72.43193}",,true,true,,,,,university of massachusetts,,,plantae,,,,,,,na,,,,"[""817a6efd-4dd3-4f7a-8abb-d8e157df9e80""]",,,,westmoreland,99dbe372-2fa7-41a4-9d4b-ef8fcd05e8a1,ranunculales,tracheophyta,"[""urn:uuid:322f216f-d3b9-43e2-bc4d-0b84a3d8ab41"", ""d78d13a7-3852-4244-ba34-86ef5765fa99\\2017941"", ""d78d13a7-3852-4244-ba34-86ef5765fa99\\99dbe372-2fa7-41a4-9d4b-ef8fcd05e8a1""]",,d78d13a7-3852-4244-ba34-86ef5765fa99,podophyllum peltatum,peltatum,171,new hampshire,3033839,accepted,species,,7fa27220-2342-499b-b878-5aba1268655e,,,,
d663ea5e-dcd6-4903-bdf7-139a3885cbf7,,,preservedspecimen,,podophyllum peltatum,,magnoliopsida,,b01784c6-c5d7-11e4-b6af-00163e00498d,,steve younghance,,,north america,,united states,usa,fayette,2012-03-31T00:00:00+00:00,2018-08-24T10:38:56.047928+00:00,0.21739130434782608,,,,,,b713e8d8d03843353111cb39bc615194c234044a,2012-03-31,berberidaceae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""gbif_vernacularname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_phylum_replaced"", ""dwc_continent_added"", ""dwc_class_added""]",,podophyllum,,"{""lat"": 33.765008, ""lon"": -87.60906}",,false,false,,,,,ills,,,plantae,,,,,,,ca. 1/2 air mile sw of jct. deavours hill rd. & cr 63.,,,,,,,,,e14509c2-d3c9-4566-9a62-2cc5144292d6,ranunculales,tracheophyta,"[""f0174bc9-0cca-450e-a941-655d80040139\\7095369"", ""urn:uuid:e14509c2-d3c9-4566-9a62-2cc5144292d6"", ""f0174bc9-0cca-450e-a941-655d80040139\\e14509c2-d3c9-4566-9a62-2cc5144292d6""]",337,f0174bc9-0cca-450e-a941-655d80040139,podophyllum peltatum,peltatum,91,alabama,3033839,accepted,species,,d663ea5e-dcd6-4903-bdf7-139a3885cbf7,,,,
a5b5a73e-0d08-4e76-b0a5-c9440bb5f713,,,preservedspecimen,,podophyllum peltatum,usch0015304,magnoliopsida,main,a13355a1-1ccc-46d9-9672-521d8d668804,,"pittman, albert; darr, ann",,,north america,,united states,usa,calhoun county,2001-04-19T00:00:00+00:00,2020-10-14T13:40:20.160720+00:00,0.2753623188405797,,,,,,c820f850906bab9daf395a2f0a6d040da0059ba4,2001-04-19,berberidaceae,,"[""geopoint_datum_missing"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""gbif_taxon_corrected"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_phylum_replaced"", ""gbif_canonicalname_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,podophyllum,,"{""lat"": 33.5982, ""lon"": -80.5638}",,true,true,plantae|magnoliophyta|eudicots|ranunculales|berberidaceae|podophyllum,,,,usch,,,plantae,,,,,,,calhoun,,,,"[""93ef1f71-ee21-49b0-bf44-66c176e8c112""]",,,,,5ab1cf1e-ff6d-11e2-9beb-001c23ce290f,ranunculales,tracheophyta,"[""83ad8494-136b-485a-87d4-8ce01dd6a8de\\9351970"", ""urn:uuid:4ec043ae-ba24-4cca-b7ad-757586075bd9"", ""83ad8494-136b-485a-87d4-8ce01dd6a8de\\5ab1cf1e-ff6d-11e2-9beb-001c23ce290f""]",4190107,83ad8494-136b-485a-87d4-8ce01dd6a8de,podophyllum peltatum,peltatum,109,south carolina,3033839,accepted,species,,a5b5a73e-0d08-4e76-b0a5-c9440bb5f713,,,,
ae20c52f-6fab-461c-a700-7bcd810d79fb,,,preservedspecimen,,podophyllum peltatum,cm446041,magnoliopsida,botany,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,"stutte, c.",,,north america,5241.0,united states,usa,coal,1961-03-28T00:00:00+00:00,2020-10-14T13:58:21.211209+00:00,0.3188405797101449,,,,,,5e6479163a8beb833670df250c62c13096fde540,1961-03-28,berberidaceae,,"[""dwc_datasetid_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""dwc_continent_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""dwc_phylum_replaced"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_class_added""]",,podophyllum,,"{""lat"": 34.497377, ""lon"": -96.433334}",,false,false,plantae|magnoliophyta|eudicots|ranunculales|berberidaceae|podophyllum,,,,cm,,,plantae,,,,,,,1 mi n of clarita,,,,,,,,,8e7a7ee6-5828-481c-bbb6-75abc8898291,ranunculales,tracheophyta,"[""db6c3db9-1e6d-4def-af29-33aa0339bfa9\\12101895"", ""urn:uuid:d631fed9-be31-42dd-a779-04c9ffe73c9e"", ""db6c3db9-1e6d-4def-af29-33aa0339bfa9\\8e7a7ee6-5828-481c-bbb6-75abc8898291""]",33,db6c3db9-1e6d-4def-af29-33aa0339bfa9,podophyllum peltatum,peltatum,87,oklahoma,3033839,accepted,species,,ae20c52f-6fab-461c-a700-7bcd810d79fb,28 mar 1961,,,
6a4c742b-2b0a-4886-83b7-ed61c28ba8f0,,,preservedspecimen,,podophyllum peltatum,uwsp141867,magnoliopsida,vp,44b57a28-1eca-48c5-80ea-4179c6e735c0,,"bolton, elizabeth",,,north america,,united states,usa,milwaukee,2004-05-08T00:00:00+00:00,2020-11-06T21:36:44.641107+00:00,0.2753623188405797,,,,,,69702ff27626586deaab96441f49a5ed7a3b49ba,2004-05-08,berberidaceae,,"[""geopoint_datum_error"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_phylum_replaced"", ""gbif_canonicalname_added"", ""dwc_continent_added"", ""dwc_class_added""]",,podophyllum,,"{""lat"": 42.9038889, ""lon"": -88.0141667}",,false,false,plantae|magnoliophyta|eudicots|ranunculales|berberidaceae|podophyllum,,,,uwsp,,,plantae,,,,,,,0.5 of a mi e of the intersection of drexel ave. and loomis rd.,,,,,,,,,b1568642-f95b-11e2-9dec-002590257708,ranunculales,tracheophyta,"[""3998ec8d-4aae-46db-9370-179c19b69356\\14069095"", ""urn:uuid:551c5ece-958d-4299-ba53-a9089ac15732"", ""3998ec8d-4aae-46db-9370-179c19b69356\\b1568642-f95b-11e2-9dec-002590257708"", ""3998ec8d-4aae-46db-9370-179c19b69356\\551c5ece-958d-4299-ba53-a9089ac15732""]",5,3998ec8d-4aae-46db-9370-179c19b69356,podophyllum peltatum,peltatum,129,wisconsin,3033839,accepted,species,,6a4c742b-2b0a-4886-83b7-ed61c28ba8f0,,,,
